rodent_id,trap_number,trap_night,initial_species_id,group,weight,head_body,tail,hind_foot,ear,length_skull,sex,testes,seminal_vesicles,vagina_perforate,teats_visible,pairs_teats,number_embryos,photos_taken,notes,visit,all_samples,date_entered,study_site,village,trap_uid,dorsal_image_id,ventral_image_id,cut_tail,key,genus,family,habitat_group.x,trap_land_type.x,weather.x,lon.x,lat.x,habitat_group.y,trap_land_type.y,weather.y,lon.y,lat.y
2-SEI-1026,19,2,praomys_spp,rodent,58,125,160,26,20,36,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-14,1,seilama,seilama_2_2_1_19,NA,NA,NA,NA,praomys,muridae,Proximal agriculture,NA,dry,-11.19225,8.122358333333333,Proximal agriculture,NA,dry,-11.19225,8.122358333333333
2-SEI-1027,22,2,mastomys_spp,rodent,35,104,105,22,17,28,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-14,1,seilama,seilama_2_2_1_22,NA,NA,NA,NA,mastomys,muridae,Proximal agriculture,NA,dry,-11.192275,8.122515,Proximal agriculture,NA,dry,-11.192275,8.122515
2-SEI-1028,43,2,mus_spp,rodent,9,68,50,12,9,20,female,NA,NA,not_open,visible,2,0,y,NA,2,yes,2021-04-14,1,seilama,seilama_2_2_1_43,NA,NA,NA,NA,mus_spp,mus_spp,Proximal agriculture,NA,dry,-11.192583333333333,8.122045,Proximal agriculture,NA,dry,-11.192583333333333,8.122045
2-SEI-7029,67,2,mastomys_spp,rodent,55,121,112,24,17,30,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-14,7,seilama,seilama_2_2_7_67,NA,NA,NA,NA,mastomys,muridae,Village,NA,dry,-11.193683333333333,8.122118333333333,Village,NA,dry,-11.193683333333333,8.122118333333333
2-SEI-7030,69,2,mastomys_spp,rodent,35,101,119,24,16,25,female,NA,NA,open,visible,10,0,y,NA,2,yes,2021-04-14,7,seilama,seilama_2_2_7_69,NA,NA,NA,NA,mastomys,muridae,Village,NA,dry,-11.193683333333333,8.122118333333333,Village,NA,dry,-11.193683333333333,8.122118333333333
2-SEI-7031,86,3,mastomys_spp,rodent,40,114,115,25,18,32,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-15,7,seilama,seilama_2_3_7_86,NA,NA,NA,NA,mastomys,muridae,Village,NA,dry,-11.193606666666666,8.122768333333333,Village,NA,dry,-11.193606666666666,8.122768333333333
2-SEI-7032,87,3,mastomys_spp,rodent,80,140,139,25,20,34,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-15,7,seilama,seilama_2_3_7_87,NA,NA,NA,NA,mastomys,muridae,Village,NA,dry,-11.193606666666666,8.122768333333333,Village,NA,dry,-11.193606666666666,8.122768333333333
2-SEI-3033,126,3,mastomys_spp,rodent,33,99,102,24,15,27,female,NA,NA,not_open,visible,0,0,y,NA,2,yes,2021-04-15,4,seilama,seilama_2_3_4_126,NA,NA,NA,NA,mastomys,muridae,Distal agriculture,NA,dry,-11.1944,8.120516666666667,Distal agriculture,NA,dry,-11.1944,8.120516666666667
2-SEI-4034,139,3,lemniscomys_spp,rodent,45,117,120,25,15,29,female,NA,NA,open,visible,4,0,y,NA,2,yes,2021-04-15,4,seilama,seilama_2_3_4_139,NA,NA,NA,NA,lemniscomys,muridae,Distal agriculture,marshland,dry,-11.194333333333333,8.120416666666667,Distal agriculture,marshland,dry,-11.194333333333333,8.120416666666667
2-SEI-4035,140,3,mastomys_spp,rodent,27,98,100,24,15,25,female,NA,NA,open,visible,10,0,y,NA,2,yes,2021-04-15,4,seilama,seilama_2_3_4_140,NA,NA,NA,NA,mastomys,muridae,Distal agriculture,marshland,dry,-11.1944,8.120383333333333,Distal agriculture,marshland,dry,-11.1944,8.120383333333333
2-SEI-2036,153,3,crocidura_spp,shrew,12,94,60,14,6,19,female,NA,NA,not_open,not_noted,NA,0,y,NA,2,yes,2021-04-15,2,seilama,seilama_2_3_2_153,NA,NA,NA,NA,crocidura,soricidae,Proximal agriculture,by_cacao,dry,-11.194333333333333,8.1229,Proximal agriculture,by_cacao,dry,-11.194333333333333,8.1229
2-SEI-2037,193,3,praomys_spp,rodent,48,125,142,22,20,32,female,NA,NA,open,visible,3,0,y,NA,2,yes,2021-04-15,2,seilama,seilama_2_3_2_193,NA,NA,NA,NA,praomys,muridae,Proximal agriculture,NA,dry,-11.194033333333334,8.1233,Proximal agriculture,NA,dry,-11.194033333333334,8.1233
2-SEI-2038,194,3,mastomys_spp,rodent,33,103,102,24,18,28,female,NA,NA,open,visible,10,0,y,NA,2,yes,2021-04-15,2,seilama,seilama_2_3_2_194,NA,NA,NA,NA,mastomys,muridae,Proximal agriculture,NA,dry,-11.194033333333334,8.123366666666668,Proximal agriculture,NA,dry,-11.194033333333334,8.123366666666668
2-SEI-3039,219,3,mastomys_spp,rodent,56,125,125,24,17,30,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-15,3,seilama,seilama_2_3_3_219,NA,NA,NA,NA,mastomys,muridae,Proximal agriculture,NA,dry,-11.194533333333334,8.124183333333333,Proximal agriculture,NA,dry,-11.194533333333334,8.124183333333333
2-SEI-3040,226,3,mastomys_spp,rodent,45,112,117,22,16,30,female,NA,NA,open,visible,10,0,y,NA,2,yes,2021-04-15,3,seilama,seilama_2_3_3_226,NA,NA,NA,NA,mastomys,muridae,Proximal agriculture,NA,dry,-11.1946,8.124183333333333,Proximal agriculture,NA,dry,-11.1946,8.124183333333333
2-SEI-5041,306,3,praomys_spp,rodent,40,109,130,22,19,25,female,NA,NA,open,visible,3,4,y,NA,2,yes,2021-04-15,5,seilama,seilama_2_3_5_306,NA,NA,NA,NA,praomys,muridae,Forest/fallow land,NA,dry,-11.197816666666666,8.123966666666666,Forest/fallow land,NA,dry,-11.197816666666666,8.123966666666666
2-SEI-1042,26,4,praomys_spp,rodent,32,107,122,22,18,26,male,outside,undeveloped,NA,NA,NA,NA,y,NA,2,yes,2021-04-16,1,seilama,seilama_2_4_1_26,NA,NA,NA,NA,praomys,muridae,Proximal agriculture,NA,dry,-11.192346666666667,8.122258333333333,Proximal agriculture,NA,dry,-11.192346666666667,8.122258333333333
2-SEI-1043,47,4,praomys_spp,rodent,41,122,142,25,19,30,female,NA,NA,not_recorded,visible,3,0,y,NA,2,yes,2021-04-16,1,seilama,seilama_2_4_1_47,NA,NA,NA,NA,praomys,muridae,Proximal agriculture,NA,dry,-11.192676666666667,8.122283333333334,Proximal agriculture,NA,dry,-11.192676666666667,8.122283333333334
2-SEI-7044,66,4,mastomys_spp,rodent,30,104,105,24,17,27,female,NA,NA,not_recorded,visible,10,0,y,NA,2,yes,2021-04-16,7,seilama,seilama_2_4_7_66,NA,NA,NA,NA,mastomys,muridae,Village,NA,dry,-11.193683333333333,8.122118333333333,Village,NA,dry,-11.193683333333333,8.122118333333333
2-SEI-7045,67,4,mastomys_spp,rodent,60,127,125,24,18,35,female,NA,NA,open,visible,10,0,y,NA,2,yes,2021-04-16,7,seilama,seilama_2_4_7_67,NA,NA,NA,NA,mastomys,muridae,Village,NA,dry,-11.193683333333333,8.122118333333333,Village,NA,dry,-11.193683333333333,8.122118333333333
2-SEI-7046,82,4,rattus_spp,rodent,55,130,165,30,20,32,male,outside,not_noted,NA,NA,NA,NA,y,NA,2,yes,2021-04-16,7,seilama,seilama_2_4_7_82,NA,NA,NA,NA,rattus,muridae,Village,NA,dry,-11.193583333333333,8.12283,Village,NA,dry,-11.193583333333333,8.12283
2-SEI-4047,101,4,lophuromys_spp,rodent,60,130,80,20,15,NA,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-16,4,seilama,seilama_2_4_4_101,NA,NA,NA,NA,lophuromys,muridae,Distal agriculture,fallow_land,dry,-11.194316666666667,8.120766666666666,Distal agriculture,fallow_land,dry,-11.194316666666667,8.120766666666666
2-SEI-4048,108,4,lophuromys_spp,rodent,60,125,67,20,15,30,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-16,4,seilama,seilama_2_4_4_108,NA,NA,NA,NA,lophuromys,muridae,Distal agriculture,fallen_log,dry,-11.194266666666667,8.120716666666667,Distal agriculture,fallen_log,dry,-11.194266666666667,8.120716666666667
2-SEI-2049,187,4,mus_spp,rodent,10,70,62,15,10,20,male,not_noted,not_noted,NA,NA,NA,NA,y,NA,2,yes,2021-04-16,2,seilama,seilama_2_4_2_187,NA,NA,NA,NA,mus_spp,mus_spp,Proximal agriculture,by_coffee,dry,-11.1941,8.123266666666666,Proximal agriculture,by_coffee,dry,-11.1941,8.123266666666666
2-SEI-2050,195,4,mus_spp,rodent,10,74,55,14,11,20,female,NA,NA,open,visible,2,0,y,NA,2,yes,2021-04-16,2,seilama,seilama_2_4_2_195,NA,NA,NA,NA,mus_spp,mus_spp,Proximal agriculture,NA,dry,-11.194116666666666,8.123366666666668,Proximal agriculture,NA,dry,-11.194116666666666,8.123366666666668
2-SEI-3051,223,4,mastomys_spp,rodent,21,94,89,20,14,25,male,inside,undeveloped,NA,NA,NA,NA,y,NA,2,yes,2021-04-16,3,seilama,seilama_2_4_3_223,NA,NA,NA,NA,mastomys,muridae,Proximal agriculture,NA,dry,-11.1945,8.123883333333334,Proximal agriculture,NA,dry,-11.1945,8.123883333333334
2-SEI-3052,270,4,mastomys_spp,rodent,60,125,125,25,18,30,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-16,3,seilama,seilama_2_4_3_270,NA,NA,NA,NA,mastomys,muridae,Proximal agriculture,NA,dry,-11.194416666666667,8.1243,Proximal agriculture,NA,dry,-11.194416666666667,8.1243
2-SEI-5053,284,4,hybomys_spp,rodent,46,120,90,25,15,35,female,NA,NA,open,visible,4,0,y,NA,2,yes,2021-04-16,5,seilama,seilama_2_4_5_284,NA,NA,NA,NA,hybomys,muridae,Forest/fallow land,NA,dry,-11.197816666666666,8.123566666666667,Forest/fallow land,NA,dry,-11.197816666666666,8.123566666666667
2-SEI-5054,293,4,praomys_spp,rodent,45,120,147,25,20,29,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-16,5,seilama,seilama_2_4_5_293,NA,NA,NA,NA,praomys,muridae,Forest/fallow land,NA,dry,-11.197916666666666,8.12385,Forest/fallow land,NA,dry,-11.197916666666666,8.12385
2-SEI-5055,296,4,crocidura_spp,shrew,20,104,64,15,7,30,female,NA,NA,not_open,barely_visible,0,0,y,NA,2,yes,2021-04-16,5,seilama,seilama_2_4_5_296,NA,NA,NA,NA,crocidura,soricidae,Forest/fallow land,NA,dry,-11.19775,8.1238,Forest/fallow land,NA,dry,-11.19775,8.1238
2-SEI-5056,305,4,hybomys_spp,rodent,28,97,89,28,15,32,male,outside,developed,NA,NA,NA,NA,y,NA,2,no,2021-04-16,5,seilama,seilama_2_4_5_305,NA,NA,NA,NA,hybomys,muridae,Forest/fallow land,NA,dry,-11.19755,8.123816666666666,Forest/fallow land,NA,dry,-11.19755,8.123816666666666
1-BAI-1002,22,2,proamys_spp,NA,46,102,132,26,19,35,female,NA,NA,yes,yes,4,3,no,NA,1,yes,2021-07-06,1,baiama,baiama_1_2_1_22,NA,NA,no,uuid:0acb5329-fbe5-4ea2-a2b6-b51e0df51955,proamys_spp,proamys_spp,Forest/fallow land,Bush tree,NA,-11.250125,7.82481,Forest/fallow land,Bush tree,NA,-11.250125,7.82481
1-BAI-4001,194,1,crocidura_spp,NA,21,84,60,15,8,23,male,internal,no,NA,NA,NA,NA,no,NA,1,no,2021-07-06,4,baiama,baiama_1_1_4_194,NA,NA,no,uuid:bef48975-6782-4abc-9b67-7e16fd4b9dc6,crocidura,soricidae,Distal agriculture,Bush,NA,-11.266438333333333,7.8365849999999995,Distal agriculture,Bush,NA,-11.266438333333333,7.8365849999999995
1-LAM-1006,44,4,crocidura_spp,NA,33,120,68,19,9,34,female,NA,NA,yes,yes,3,0,yes,NA,1,no,2021-07-02,1,lambayama,lambayama_1_4_1_44,1625227009797.jpg,1625227020579.jpg,no,uuid:d6b9caf1-643d-4668-be7e-eda0f6f9d7b1,crocidura,soricidae,Proximal agriculture,Rice plants marsh,NA,-11.194906666666666,7.851233333333333,Proximal agriculture,Rice plants marsh,NA,-11.194906666666666,7.851233333333333
1-LAM-3005,151,4,crocidura_spp,NA,34,99,70,18,10,30,female,NA,NA,yes,yes,3,3,yes,NA,1,no,2021-07-02,3,lambayama,lambayama_1_4_3_151,1625226494540.jpg,1625226510341.jpg,no,uuid:952bff1c-6cc0-409d-8113-4c59df93531b,crocidura,soricidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-LAM-1004,48,4,crocidura_spp,NA,33,127,176,18,11,40,female,NA,NA,yes,yes,3,0,yes,NA,1,no,2021-07-02,1,lambayama,lambayama_1_4_1_48,1625226008566.jpg,1625226025186.jpg,no,uuid:3c9697ea-0702-4f14-9f5d-3806fdcb142e,crocidura,soricidae,Proximal agriculture,Rice plants,NA,-11.194996666666666,7.851281666666667,Proximal agriculture,Rice plants,NA,-11.194996666666666,7.851281666666667
1-LAM-4003,188,1,crocidura_spp,NA,45,140,85,18,12,35,male,internal,yes,NA,NA,NA,NA,no,NA,1,yes,2021-06-30,4,lambayama,lambayama_1_1_4_188,NA,NA,no,uuid:f5740d48-cc5b-4a73-bd86-9df763a8d2dc,crocidura,soricidae,Forest/fallow land,Grass standing water,NA,-11.196895,7.849596666666667,Forest/fallow land,Grass standing water,NA,-11.196895,7.849596666666667
1-LAM-3002,110,1,crocidura_spp,NA,25,117,68,18,10,10,female,NA,NA,yes,yes,3,0,no,NA,1,yes,2021-06-30,3,lambayama,lambayama_1_1_3_110,NA,NA,no,uuid:b077a4c4-c9a5-4105-b81b-5340e1fa7abf,crocidura,soricidae,Forest/fallow land,Bush tree,NA,-11.192543333333333,7.849223333333334,Forest/fallow land,Bush tree,NA,-11.192543333333333,7.849223333333334
1-LAM-1001,13,1,crocidura_spp,NA,138,99,78,19,10,39,male,external,yes,NA,NA,NA,NA,no,NA,1,no,2021-06-30,1,lambayama,lambayama_1_1_1_13,NA,NA,no,uuid:d7585bac-7038-41e5-a5b2-f6ab2a74da41,crocidura,soricidae,Proximal agriculture,Edge marsh rice plants bush path,NA,-11.195513333333333,7.850633333333334,Proximal agriculture,Edge marsh rice plants bush path,NA,-11.195513333333333,7.850633333333334
1-BAM-2014,68,4,dasymys_spp,NA,64,129,116,25,19,32,male,external,yes,NA,NA,NA,NA,yes,NA,1,no,2021-06-27,2,bambawo,bambawo_1_4_2_68,1624807693955.jpg,1624807717724.jpg,no,uuid:9f248cd5-5886-42a3-81f2-78295c3df3c7,dasymys_spp,dasymys_spp,Distal agriculture,Rice plants path,NA,-11.140758333333334,8.009098333333334,Distal agriculture,Rice plants path,NA,-11.140758333333334,8.009098333333334
1-BAM-2013,64,4,dasymys_spp,NA,55,19,124,22,17,35,female,NA,NA,yes,yes,6,0,yes,NA,1,yes,2021-06-27,2,bambawo,bambawo_1_4_2_64,1624807202518.jpg,1624807216216.jpg,no,uuid:5a04ebf7-a2dd-4279-b221-0693e6ce912a,dasymys_spp,dasymys_spp,Distal agriculture,Rice plants fallen log,NA,-11.140683333333333,8.009168333333333,Distal agriculture,Rice plants fallen log,NA,-11.140683333333333,8.009168333333333
1-BAM-4012,132,4,lemniscomys_spp,NA,47,120,130,25,17,30,male,external,yes,NA,NA,NA,NA,yes,NA,1,yes,2021-06-27,4,bambawo,bambawo_1_4_4_132,1624806809560.jpg,1624806821452.jpg,no,uuid:51aec77d-b0fb-48fc-ba9d-6579eb6f80fa,lemniscomys,muridae,Proximal agriculture,Cassava plant,NA,-11.136823333333334,8.008806666666667,Proximal agriculture,Cassava plant,NA,-11.136823333333334,8.008806666666667
1-BAM-1011,2,4,mus_spp,NA,11,76,44,14,11,22,female,NA,NA,yes,yes,6,0,yes,NA,1,no,2021-06-27,1,bambawo,bambawo_1_4_1_2,1624806358849.jpg,1624806374253.jpg,no,uuid:a601bd84-a2b3-4c88-b907-f64fcdd3857e,mus_spp,mus_spp,Forest/fallow land,Bush house,NA,-11.142668333333333,8.00961,Forest/fallow land,Bush house,NA,-11.142668333333333,8.00961
1-BAM-3010,199,4,crocidura_spp,NA,20,117,76,19,11,33,male,internal,yes,NA,NA,NA,NA,yes,NA,1,yes,2021-06-27,3,bambawo,bambawo_1_4_3_199,1624805908841.jpg,1624805932019.jpg,no,uuid:a3a2b97a-c23d-402b-b36c-8d10ad6a5024,crocidura,soricidae,Forest/fallow land,Bush,NA,-11.143156666666666,8.011755,Forest/fallow land,Bush,NA,-11.143156666666666,8.011755
1-BAM-4009,203,4,lophuromys_spp,NA,69,125,70,22,16,30,female,NA,NA,yes,yes,4,2,no,NA,1,no,2021-06-27,4,bambawo,bambawo_1_4_4_203,NA,NA,no,uuid:460457f1-3cb1-4d47-a27d-16ed8082c4be,lophuromys,muridae,Proximal agriculture,Grass low plants,NA,-11.136505,8.008896666666667,Proximal agriculture,Grass low plants,NA,-11.136505,8.008896666666667
1-BAM-3008,183,3,mus_spp,NA,7,53,48,13,8,24,male,external,yes,NA,NA,NA,NA,no,NA,1,no,2021-06-26,3,bambawo,bambawo_1_3_3_183,1624710319333.jpg,NA,no,uuid:adf45df5-4320-4297-8f6a-d9e27b128f9a,mus_spp,mus_spp,Forest/fallow land,Low plants road,NA,-11.143136666666667,8.01152,Forest/fallow land,Low plants road,NA,-11.143136666666667,8.01152
1-BAM-4007,213,2,mus_spp,NA,7,63,57,14,9,15,male,external,yes,NA,NA,NA,NA,yes,NA,1,yes,2021-06-25,4,bambawo,bambawo_1_2_4_213,1624629557196.jpg,1624629571235.jpg,yes,uuid:acb21511-aa66-48d5-b386-67ffacbf95f4,mus_spp,mus_spp,Forest/fallow land,Bush,NA,-11.136595,8.008953333333332,Forest/fallow land,Bush,NA,-11.136595,8.008953333333332
1-BAM-2006,61,2,mastomys_spp,NA,55,125,116,22,19,30,male,external,yes,NA,NA,NA,NA,yes,NA,1,yes,2021-06-25,2,bambawo,bambawo_1_2_2_61,1624629113602.jpg,1624629125440.jpg,yes,uuid:8bd0b0de-8515-45a2-b2d0-e9ef6de244fb,mastomys,muridae,Distal agriculture,Path,NA,-11.140681666666667,8.00908,Distal agriculture,Path,NA,-11.140681666666667,8.00908
1-BAM-3005,184,2,mus_spp,NA,6,58,45,10,9,15,female,NA,NA,NA,NA,NA,2,yes,NA,1,no,2021-06-25,3,bambawo,bambawo_1_2_3_184,1624628668702.jpg,1624628680515.jpg,yes,uuid:d5bdb712-b273-461c-9109-59bd81a687d8,mus_spp,mus_spp,Forest/fallow land,Grass path,NA,-11.143173333333333,8.011533333333333,Forest/fallow land,Grass path,NA,-11.143173333333333,8.011533333333333
1-BAM-3004,186,2,shrew_spp,NA,11,89,55,14,8,25,female,NA,NA,yes,no,NA,0,yes,NA,1,yes,2021-06-25,3,bambawo,bambawo_1_2_3_186,1624628220228.jpg,1624628240005.jpg,yes,uuid:25c1781c-5ec1-4920-b6a4-dc0aa11c5949,shrew_spp,shrew_spp,Forest/fallow land,Grass road,NA,-11.142865,8.011626666666666,Forest/fallow land,Grass road,NA,-11.142865,8.011626666666666
1-BAM-3003,155,2,lophuromys_spp,NA,60,129,73,22,15,30,female,NA,NA,yes,yes,3,2,no,NA,1,yes,2021-06-25,3,bambawo,bambawo_1_2_3_155,NA,1624627578807.jpg,yes,uuid:9055a9cb-cde8-4c4b-a53e-18c74ad00b6e,lophuromys,muridae,Forest/fallow land,Bush,NA,-11.143031666666667,8.011165,Forest/fallow land,Bush,NA,-11.143031666666667,8.011165
1-BAM-1002,13,1,proamys_spp,NA,34,104,135,21,19,26,female,NA,NA,yes,yes,3,3,no,NA,1,yes,2021-06-24,1,bambawo,bambawo_1_1_1_13,NA,NA,no,uuid:458d1e7e-9e40-4df5-b3d4-236d665d5e91,proamys_spp,proamys_spp,Forest/fallow land,Rocks,NA,-11.142526666666667,8.009746666666667,Forest/fallow land,Rocks,NA,-11.142526666666667,8.009746666666667
1-BAM-1001,9,1,mus_spp,NA,11,70,57,17,10,20,female,NA,NA,yes,no,NA,0,no,NA,1,yes,2021-06-24,1,bambawo,bambawo_1_1_1_9,NA,NA,no,uuid:4b2556c4-528c-4e25-a5df-7a8eb22ac989,mus_spp,mus_spp,Forest/fallow land,Rocks,NA,-11.142631666666666,8.009601666666667,Forest/fallow land,Rocks,NA,-11.142631666666666,8.009601666666667
