trap_number_shut,PARENT_KEY,KEY
105,uuid:a970d84f-76d3-447a-b1a6-0c6d43c0caaf,uuid:a970d84f-76d3-447a-b1a6-0c6d43c0caaf/individual_traps/trap_closed/number_repeat_shut[1]
108,uuid:a970d84f-76d3-447a-b1a6-0c6d43c0caaf,uuid:a970d84f-76d3-447a-b1a6-0c6d43c0caaf/individual_traps/trap_closed/number_repeat_shut[2]
142,uuid:a970d84f-76d3-447a-b1a6-0c6d43c0caaf,uuid:a970d84f-76d3-447a-b1a6-0c6d43c0caaf/individual_traps/trap_closed/number_repeat_shut[3]
60,uuid:26fe4f03-9314-42f4-a6fe-89dd63ad0e6f,uuid:26fe4f03-9314-42f4-a6fe-89dd63ad0e6f/individual_traps/trap_closed/number_repeat_shut[1]
65,uuid:26fe4f03-9314-42f4-a6fe-89dd63ad0e6f,uuid:26fe4f03-9314-42f4-a6fe-89dd63ad0e6f/individual_traps/trap_closed/number_repeat_shut[2]
5,uuid:ef6735c2-eee0-44e7-b3f5-eed33a1835de,uuid:ef6735c2-eee0-44e7-b3f5-eed33a1835de/individual_traps/trap_closed/number_repeat_shut[1]
25,uuid:ef6735c2-eee0-44e7-b3f5-eed33a1835de,uuid:ef6735c2-eee0-44e7-b3f5-eed33a1835de/individual_traps/trap_closed/number_repeat_shut[2]
44,uuid:ef6735c2-eee0-44e7-b3f5-eed33a1835de,uuid:ef6735c2-eee0-44e7-b3f5-eed33a1835de/individual_traps/trap_closed/number_repeat_shut[3]
185,uuid:153dbbbf-2c7e-4732-a927-5495eaf96c73,uuid:153dbbbf-2c7e-4732-a927-5495eaf96c73/individual_traps/trap_closed/number_repeat_shut[1]
199,uuid:153dbbbf-2c7e-4732-a927-5495eaf96c73,uuid:153dbbbf-2c7e-4732-a927-5495eaf96c73/individual_traps/trap_closed/number_repeat_shut[2]
151,uuid:929278ab-17a4-439e-9912-d0ed38b4140f,uuid:929278ab-17a4-439e-9912-d0ed38b4140f/individual_traps/trap_closed/number_repeat_shut[1]
103,uuid:929278ab-17a4-439e-9912-d0ed38b4140f,uuid:929278ab-17a4-439e-9912-d0ed38b4140f/individual_traps/trap_closed/number_repeat_shut[2]
107,uuid:929278ab-17a4-439e-9912-d0ed38b4140f,uuid:929278ab-17a4-439e-9912-d0ed38b4140f/individual_traps/trap_closed/number_repeat_shut[3]
57,uuid:257984fb-423d-4d21-9bb7-601e8f03f262,uuid:257984fb-423d-4d21-9bb7-601e8f03f262/individual_traps/trap_closed/number_repeat_shut[1]
53,uuid:257984fb-423d-4d21-9bb7-601e8f03f262,uuid:257984fb-423d-4d21-9bb7-601e8f03f262/individual_traps/trap_closed/number_repeat_shut[2]
65,uuid:257984fb-423d-4d21-9bb7-601e8f03f262,uuid:257984fb-423d-4d21-9bb7-601e8f03f262/individual_traps/trap_closed/number_repeat_shut[3]
43,uuid:21f76f88-0c45-4382-97fa-4768777feae8,uuid:21f76f88-0c45-4382-97fa-4768777feae8/individual_traps/trap_closed/number_repeat_shut[1]
44,uuid:21f76f88-0c45-4382-97fa-4768777feae8,uuid:21f76f88-0c45-4382-97fa-4768777feae8/individual_traps/trap_closed/number_repeat_shut[2]
48,uuid:21f76f88-0c45-4382-97fa-4768777feae8,uuid:21f76f88-0c45-4382-97fa-4768777feae8/individual_traps/trap_closed/number_repeat_shut[3]
123,uuid:e4de3e20-82c1-487e-b74c-83b7820d7abd,uuid:e4de3e20-82c1-487e-b74c-83b7820d7abd/individual_traps/trap_closed/number_repeat_shut[1]
136,uuid:e4de3e20-82c1-487e-b74c-83b7820d7abd,uuid:e4de3e20-82c1-487e-b74c-83b7820d7abd/individual_traps/trap_closed/number_repeat_shut[2]
167,uuid:95766200-e779-4c68-87f5-5471b2af44cd,uuid:95766200-e779-4c68-87f5-5471b2af44cd/individual_traps/trap_closed/number_repeat_shut[1]
176,uuid:95766200-e779-4c68-87f5-5471b2af44cd,uuid:95766200-e779-4c68-87f5-5471b2af44cd/individual_traps/trap_closed/number_repeat_shut[2]
185,uuid:95766200-e779-4c68-87f5-5471b2af44cd,uuid:95766200-e779-4c68-87f5-5471b2af44cd/individual_traps/trap_closed/number_repeat_shut[3]
54,uuid:671f6839-e839-4dba-a512-6da75fed41d2,uuid:671f6839-e839-4dba-a512-6da75fed41d2/individual_traps/trap_closed/number_repeat_shut[1]
78,uuid:671f6839-e839-4dba-a512-6da75fed41d2,uuid:671f6839-e839-4dba-a512-6da75fed41d2/individual_traps/trap_closed/number_repeat_shut[2]
93,uuid:671f6839-e839-4dba-a512-6da75fed41d2,uuid:671f6839-e839-4dba-a512-6da75fed41d2/individual_traps/trap_closed/number_repeat_shut[3]
4,uuid:4e3cdf3f-8f17-4377-bdb4-77344386c1eb,uuid:4e3cdf3f-8f17-4377-bdb4-77344386c1eb/individual_traps/trap_closed/number_repeat_shut[1]
10,uuid:4e3cdf3f-8f17-4377-bdb4-77344386c1eb,uuid:4e3cdf3f-8f17-4377-bdb4-77344386c1eb/individual_traps/trap_closed/number_repeat_shut[2]
33,uuid:4e3cdf3f-8f17-4377-bdb4-77344386c1eb,uuid:4e3cdf3f-8f17-4377-bdb4-77344386c1eb/individual_traps/trap_closed/number_repeat_shut[3]
167,uuid:eadc880a-b90f-449a-941b-04345810f092,uuid:eadc880a-b90f-449a-941b-04345810f092/individual_traps/trap_closed/number_repeat_shut[1]
168,uuid:eadc880a-b90f-449a-941b-04345810f092,uuid:eadc880a-b90f-449a-941b-04345810f092/individual_traps/trap_closed/number_repeat_shut[2]
170,uuid:eadc880a-b90f-449a-941b-04345810f092,uuid:eadc880a-b90f-449a-941b-04345810f092/individual_traps/trap_closed/number_repeat_shut[3]
176,uuid:eadc880a-b90f-449a-941b-04345810f092,uuid:eadc880a-b90f-449a-941b-04345810f092/individual_traps/trap_closed/number_repeat_shut[4]
174,uuid:eadc880a-b90f-449a-941b-04345810f092,uuid:eadc880a-b90f-449a-941b-04345810f092/individual_traps/trap_closed/number_repeat_shut[5]
122,uuid:0cab60e1-8fb0-4892-8976-25e795f2a476,uuid:0cab60e1-8fb0-4892-8976-25e795f2a476/individual_traps/trap_closed/number_repeat_shut[1]
131,uuid:0cab60e1-8fb0-4892-8976-25e795f2a476,uuid:0cab60e1-8fb0-4892-8976-25e795f2a476/individual_traps/trap_closed/number_repeat_shut[2]
54,uuid:0b08b0fa-8d9d-418e-a871-630f3ed73013,uuid:0b08b0fa-8d9d-418e-a871-630f3ed73013/individual_traps/trap_closed/number_repeat_shut[1]
77,uuid:0b08b0fa-8d9d-418e-a871-630f3ed73013,uuid:0b08b0fa-8d9d-418e-a871-630f3ed73013/individual_traps/trap_closed/number_repeat_shut[2]
94,uuid:0b08b0fa-8d9d-418e-a871-630f3ed73013,uuid:0b08b0fa-8d9d-418e-a871-630f3ed73013/individual_traps/trap_closed/number_repeat_shut[3]
95,uuid:0b08b0fa-8d9d-418e-a871-630f3ed73013,uuid:0b08b0fa-8d9d-418e-a871-630f3ed73013/individual_traps/trap_closed/number_repeat_shut[4]
28,uuid:cbdab78f-ed5c-462b-bee1-d3beabd35c60,uuid:cbdab78f-ed5c-462b-bee1-d3beabd35c60/individual_traps/trap_closed/number_repeat_shut[1]
30,uuid:cbdab78f-ed5c-462b-bee1-d3beabd35c60,uuid:cbdab78f-ed5c-462b-bee1-d3beabd35c60/individual_traps/trap_closed/number_repeat_shut[2]
153,uuid:d23d750b-6e51-41e5-b64c-707764e26888,uuid:d23d750b-6e51-41e5-b64c-707764e26888/individual_traps/trap_closed/number_repeat_shut[1]
188,uuid:d23d750b-6e51-41e5-b64c-707764e26888,uuid:d23d750b-6e51-41e5-b64c-707764e26888/individual_traps/trap_closed/number_repeat_shut[2]
110,uuid:c855c764-ae13-436d-a250-f61b2e46a95f,uuid:c855c764-ae13-436d-a250-f61b2e46a95f/individual_traps/trap_closed/number_repeat_shut[1]
123,uuid:c855c764-ae13-436d-a250-f61b2e46a95f,uuid:c855c764-ae13-436d-a250-f61b2e46a95f/individual_traps/trap_closed/number_repeat_shut[2]
50,uuid:d8e53ae0-3d6a-448c-9aa3-f4afae823468,uuid:d8e53ae0-3d6a-448c-9aa3-f4afae823468/individual_traps/trap_closed/number_repeat_shut[1]
95,uuid:d8e53ae0-3d6a-448c-9aa3-f4afae823468,uuid:d8e53ae0-3d6a-448c-9aa3-f4afae823468/individual_traps/trap_closed/number_repeat_shut[2]
13,uuid:4662c894-6fdc-4eeb-b5f3-0af381c75b25,uuid:4662c894-6fdc-4eeb-b5f3-0af381c75b25/individual_traps/trap_closed/number_repeat_shut[1]
22,uuid:4662c894-6fdc-4eeb-b5f3-0af381c75b25,uuid:4662c894-6fdc-4eeb-b5f3-0af381c75b25/individual_traps/trap_closed/number_repeat_shut[2]
26,uuid:4662c894-6fdc-4eeb-b5f3-0af381c75b25,uuid:4662c894-6fdc-4eeb-b5f3-0af381c75b25/individual_traps/trap_closed/number_repeat_shut[3]
27,uuid:4662c894-6fdc-4eeb-b5f3-0af381c75b25,uuid:4662c894-6fdc-4eeb-b5f3-0af381c75b25/individual_traps/trap_closed/number_repeat_shut[4]
199,uuid:939b3efb-f13a-4bd1-bef2-aad3a5c06beb,uuid:939b3efb-f13a-4bd1-bef2-aad3a5c06beb/individual_traps/trap_closed/number_repeat_shut[1]
203,uuid:939b3efb-f13a-4bd1-bef2-aad3a5c06beb,uuid:939b3efb-f13a-4bd1-bef2-aad3a5c06beb/individual_traps/trap_closed/number_repeat_shut[2]
132,uuid:fb294ac9-1afb-4b0e-9878-095aa768541a,uuid:fb294ac9-1afb-4b0e-9878-095aa768541a/individual_traps/trap_closed/number_repeat_shut[1]
64,uuid:9ff1de50-0fd4-44c5-8047-b34bd53f4b72,uuid:9ff1de50-0fd4-44c5-8047-b34bd53f4b72/individual_traps/trap_closed/number_repeat_shut[1]
68,uuid:9ff1de50-0fd4-44c5-8047-b34bd53f4b72,uuid:9ff1de50-0fd4-44c5-8047-b34bd53f4b72/individual_traps/trap_closed/number_repeat_shut[2]
69,uuid:9ff1de50-0fd4-44c5-8047-b34bd53f4b72,uuid:9ff1de50-0fd4-44c5-8047-b34bd53f4b72/individual_traps/trap_closed/number_repeat_shut[3]
2,uuid:0a5d5402-05d2-43ee-a00c-21bb6df7a7dc,uuid:0a5d5402-05d2-43ee-a00c-21bb6df7a7dc/individual_traps/trap_closed/number_repeat_shut[1]
25,uuid:0a4dced3-af39-4fd4-8d14-57b89bb6803e,uuid:0a4dced3-af39-4fd4-8d14-57b89bb6803e/individual_traps/trap_closed/number_repeat_shut[1]
31,uuid:0a4dced3-af39-4fd4-8d14-57b89bb6803e,uuid:0a4dced3-af39-4fd4-8d14-57b89bb6803e/individual_traps/trap_closed/number_repeat_shut[2]
41,uuid:0a4dced3-af39-4fd4-8d14-57b89bb6803e,uuid:0a4dced3-af39-4fd4-8d14-57b89bb6803e/individual_traps/trap_closed/number_repeat_shut[3]
66,uuid:a05814fb-4141-4da4-9dab-0b43fe1b6363,uuid:a05814fb-4141-4da4-9dab-0b43fe1b6363/individual_traps/trap_closed/number_repeat_shut[1]
74,uuid:a05814fb-4141-4da4-9dab-0b43fe1b6363,uuid:a05814fb-4141-4da4-9dab-0b43fe1b6363/individual_traps/trap_closed/number_repeat_shut[2]
85,uuid:a05814fb-4141-4da4-9dab-0b43fe1b6363,uuid:a05814fb-4141-4da4-9dab-0b43fe1b6363/individual_traps/trap_closed/number_repeat_shut[3]
183,uuid:82ca0e65-1fc8-4dc7-b041-570c11820a2c,uuid:82ca0e65-1fc8-4dc7-b041-570c11820a2c/individual_traps/trap_closed/number_repeat_shut[1]
204,uuid:4ab2b196-656d-4709-ba62-15c7b91e8d18,uuid:4ab2b196-656d-4709-ba62-15c7b91e8d18/individual_traps/trap_closed/number_repeat_shut[1]
217,uuid:4ab2b196-656d-4709-ba62-15c7b91e8d18,uuid:4ab2b196-656d-4709-ba62-15c7b91e8d18/individual_traps/trap_closed/number_repeat_shut[2]
220,uuid:4ab2b196-656d-4709-ba62-15c7b91e8d18,uuid:4ab2b196-656d-4709-ba62-15c7b91e8d18/individual_traps/trap_closed/number_repeat_shut[3]
112,uuid:4ab2b196-656d-4709-ba62-15c7b91e8d18,uuid:4ab2b196-656d-4709-ba62-15c7b91e8d18/individual_traps/trap_closed/number_repeat_shut[4]
227,uuid:a08251d4-c0c8-43e2-8664-d8646d01556f,uuid:a08251d4-c0c8-43e2-8664-d8646d01556f/individual_traps/trap_closed/number_repeat_shut[1]
232,uuid:a08251d4-c0c8-43e2-8664-d8646d01556f,uuid:a08251d4-c0c8-43e2-8664-d8646d01556f/individual_traps/trap_closed/number_repeat_shut[2]
237,uuid:a08251d4-c0c8-43e2-8664-d8646d01556f,uuid:a08251d4-c0c8-43e2-8664-d8646d01556f/individual_traps/trap_closed/number_repeat_shut[3]
142,uuid:a08251d4-c0c8-43e2-8664-d8646d01556f,uuid:a08251d4-c0c8-43e2-8664-d8646d01556f/individual_traps/trap_closed/number_repeat_shut[4]
144,uuid:a08251d4-c0c8-43e2-8664-d8646d01556f,uuid:a08251d4-c0c8-43e2-8664-d8646d01556f/individual_traps/trap_closed/number_repeat_shut[5]
152,uuid:cadced31-67cf-47bc-80b9-72b07a6eb14f,uuid:cadced31-67cf-47bc-80b9-72b07a6eb14f/individual_traps/trap_closed/number_repeat_shut[1]
155,uuid:cadced31-67cf-47bc-80b9-72b07a6eb14f,uuid:cadced31-67cf-47bc-80b9-72b07a6eb14f/individual_traps/trap_closed/number_repeat_shut[2]
186,uuid:cadced31-67cf-47bc-80b9-72b07a6eb14f,uuid:cadced31-67cf-47bc-80b9-72b07a6eb14f/individual_traps/trap_closed/number_repeat_shut[3]
184,uuid:cadced31-67cf-47bc-80b9-72b07a6eb14f,uuid:cadced31-67cf-47bc-80b9-72b07a6eb14f/individual_traps/trap_closed/number_repeat_shut[4]
61,uuid:f1ef7a63-dac1-4185-9f06-2fff52bb0e7d,uuid:f1ef7a63-dac1-4185-9f06-2fff52bb0e7d/individual_traps/trap_closed/number_repeat_shut[1]
55,uuid:f1ef7a63-dac1-4185-9f06-2fff52bb0e7d,uuid:f1ef7a63-dac1-4185-9f06-2fff52bb0e7d/individual_traps/trap_closed/number_repeat_shut[2]
60,uuid:f1ef7a63-dac1-4185-9f06-2fff52bb0e7d,uuid:f1ef7a63-dac1-4185-9f06-2fff52bb0e7d/individual_traps/trap_closed/number_repeat_shut[3]
208,uuid:b021ba63-4f01-44e7-88aa-1ae9967da4a0,uuid:b021ba63-4f01-44e7-88aa-1ae9967da4a0/individual_traps/trap_closed/number_repeat_shut[1]
213,uuid:b021ba63-4f01-44e7-88aa-1ae9967da4a0,uuid:b021ba63-4f01-44e7-88aa-1ae9967da4a0/individual_traps/trap_closed/number_repeat_shut[2]
9,uuid:35258b6b-df77-4032-9737-ef8f6cdb1f7a,uuid:35258b6b-df77-4032-9737-ef8f6cdb1f7a/individual_traps/trap_closed/number_repeat_shut[1]
32,uuid:35258b6b-df77-4032-9737-ef8f6cdb1f7a,uuid:35258b6b-df77-4032-9737-ef8f6cdb1f7a/individual_traps/trap_closed/number_repeat_shut[2]
40,uuid:35258b6b-df77-4032-9737-ef8f6cdb1f7a,uuid:35258b6b-df77-4032-9737-ef8f6cdb1f7a/individual_traps/trap_closed/number_repeat_shut[3]
61,uuid:a5b5f8bd-daeb-4f99-a9da-df1d903ee3a6,uuid:a5b5f8bd-daeb-4f99-a9da-df1d903ee3a6/individual_traps/trap_closed/number_repeat_shut[1]
55,uuid:a5b5f8bd-daeb-4f99-a9da-df1d903ee3a6,uuid:a5b5f8bd-daeb-4f99-a9da-df1d903ee3a6/individual_traps/trap_closed/number_repeat_shut[2]
60,uuid:a5b5f8bd-daeb-4f99-a9da-df1d903ee3a6,uuid:a5b5f8bd-daeb-4f99-a9da-df1d903ee3a6/individual_traps/trap_closed/number_repeat_shut[3]
9,uuid:2423f73d-05be-408f-a745-aa9070dbde68,uuid:2423f73d-05be-408f-a745-aa9070dbde68/individual_traps/trap_closed/number_repeat_shut[1]
32,uuid:2423f73d-05be-408f-a745-aa9070dbde68,uuid:2423f73d-05be-408f-a745-aa9070dbde68/individual_traps/trap_closed/number_repeat_shut[2]
40,uuid:2423f73d-05be-408f-a745-aa9070dbde68,uuid:2423f73d-05be-408f-a745-aa9070dbde68/individual_traps/trap_closed/number_repeat_shut[3]
229,uuid:0b13cc4c-9ffa-4c5a-972f-0e1b2b7fd0f8,uuid:0b13cc4c-9ffa-4c5a-972f-0e1b2b7fd0f8/individual_traps/trap_closed/number_repeat_shut[1]
232,uuid:0b13cc4c-9ffa-4c5a-972f-0e1b2b7fd0f8,uuid:0b13cc4c-9ffa-4c5a-972f-0e1b2b7fd0f8/individual_traps/trap_closed/number_repeat_shut[2]
146,uuid:0b13cc4c-9ffa-4c5a-972f-0e1b2b7fd0f8,uuid:0b13cc4c-9ffa-4c5a-972f-0e1b2b7fd0f8/individual_traps/trap_closed/number_repeat_shut[3]
148,uuid:0b13cc4c-9ffa-4c5a-972f-0e1b2b7fd0f8,uuid:0b13cc4c-9ffa-4c5a-972f-0e1b2b7fd0f8/individual_traps/trap_closed/number_repeat_shut[4]
129,uuid:21ee0284-36e4-463e-b7d4-c0279936ff8a,uuid:21ee0284-36e4-463e-b7d4-c0279936ff8a/individual_traps/trap_closed/number_repeat_shut[1]
126,uuid:21ee0284-36e4-463e-b7d4-c0279936ff8a,uuid:21ee0284-36e4-463e-b7d4-c0279936ff8a/individual_traps/trap_closed/number_repeat_shut[2]
156,uuid:af8b82bf-bfb5-4583-8114-74c1b536490d,uuid:af8b82bf-bfb5-4583-8114-74c1b536490d/individual_traps/trap_closed/number_repeat_shut[1]
84,uuid:af8b82bf-bfb5-4583-8114-74c1b536490d,uuid:af8b82bf-bfb5-4583-8114-74c1b536490d/individual_traps/trap_closed/number_repeat_shut[2]
,uuid:a18e0c97-69e5-4c6f-ac46-ce489f38300f,uuid:a18e0c97-69e5-4c6f-ac46-ce489f38300f/individual_traps/trap_closed/number_repeat_shut[1]
23,uuid:ce282119-33ab-4365-9f73-b995172a478d,uuid:ce282119-33ab-4365-9f73-b995172a478d/individual_traps/trap_closed/number_repeat_shut[1]
47,uuid:ce282119-33ab-4365-9f73-b995172a478d,uuid:ce282119-33ab-4365-9f73-b995172a478d/individual_traps/trap_closed/number_repeat_shut[2]
51,uuid:ce282119-33ab-4365-9f73-b995172a478d,uuid:ce282119-33ab-4365-9f73-b995172a478d/individual_traps/trap_closed/number_repeat_shut[3]
