site_grouping-trap_number,site_grouping-longitude,site_grouping-latitude,site_grouping-elevation,site_grouping-selected_habitat_trap,site_grouping-selected_proximity,site_grouping-selected_land_type,site_grouping-bait_type,site_grouping-trap_image,PARENT_KEY,KEY
151,8.5714,0.672,235.0,open_land,,grass bush,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[1]
152,8.5739,0.6712,237.0,open_land,,bush,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[2]
153,8.5759,0.6707,238.0,open_land,,rocks clearing,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[3]
154,8.5783,0.6703,236.0,open_land,,bush,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[4]
155,8.5819,0.6699,237.0,open_land,,bush,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[5]
156,8.5849,0.6695,238.0,open_land,,bush,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[6]
157,8.5865,0.6698,238.0,open_land,,bush,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[7]
158,8.5701,0.6785,234.0,open_land,,grass bush rocks,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[8]
159,8.5725,0.6784,235.0,open_land,,rocks bush,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[9]
160,8.5797,0.6798,235.0,open_land,,bush,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[10]
161,8.5817,0.6793,234.0,open_land,,bush,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[11]
162,8.5846,0.6791,235.0,open_land,path,bush,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[12]
163,8.5889,0.6783,237.0,open_land,path,grass,,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[13]
164,8.5908,0.6773,238.0,open_land,,grass,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[14]
165,8.5694,0.6826,234.0,open_land,,rocks,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[15]
166,8.574,0.6818,236.0,open_land,path,rocks,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[16]
167,8.5797,0.6833,238.0,open_land,tree road path,grass,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[17]
168,8.5831,0.6823,238.0,open_land,,bush,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[18]
169,8.5853,0.6823,237.0,open_land,,grass bush,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[19]
170,8.5874,0.6835,237.0,open_land,,bush,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[20]
171,8.5909,0.6835,238.0,open_land,path,grass,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[21]
172,8.5691,0.6861,235.0,open_land,road,rocks,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[22]
173,8.5742,0.6857,236.0,open_land,road path,rocks,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[23]
174,8.5789,0.6862,236.0,open_land,path road,bush,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[24]
175,8.5808,0.6864,235.0,fallow_land,tree,,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[25]
176,8.5843,0.6861,236.0,open_land,path,bush,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[26]
177,8.5888,0.6872,236.0,open_land,path,grass,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[27]
178,8.5906,0.6881,237.0,open_land,path,grass,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[28]
179,8.5723,0.6905,234.0,open_land,tree,,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[29]
180,8.5751,0.6894,234.0,open_land,path road,low_plants,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[30]
181,8.5805,0.6898,235.0,open_land,path,grass,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[31]
182,8.5842,0.69,236.0,open_land,road,,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[32]
183,8.5882,0.6912,237.0,open_land,road,low_plants,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[33]
184,8.5904,0.692,237.0,open_land,path,grass,,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[34]
185,8.594,0.6934,237.0,open_land,path,grass,,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[35]
186,8.5719,0.6976,233.0,open_land,road,grass,oats,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[36]
184,8.5736,0.6979,234.0,open_land,road,grass,,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[37]
188,8.5772,0.6968,235.0,open_land,path,grass,,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[38]
189,8.5826,0.6957,234.0,open_land,,grass clearing,,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[39]
190,8.5879,0.6954,235.0,open_land,,low_plants,,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[40]
191,8.85905,0.6961,237.0,open_land,,low_plants,,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[41]
192,8.5928,0.6973,239.0,open_land,tree,bush,,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[42]
193,8.573,0.703,234.0,open_land,,grass,,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[43]
194,8.5754,0.7036,235.0,fallow_land,,bush,,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[44]
195,8.5786,0.7043,237.0,fallow_land,,bush,,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[45]
196,8.5806,0.705,235.0,open_land,,bush,,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[46]
197,8.5828,0.7055,236.0,open_land,tree,bush,,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[47]
198,8.587,0.7051,238.0,open_land,,low_plants bush,,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[48]
199,8.5894,0.7053,239.0,open_land,,bush,,,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be,uuid:301ee287-2635-4ba4-96f3-cc80ceec85be/trap[49]
200,8.1887,0.5254,189.0,agricultural,path road,low_plants,oats,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[1]
201,8.1884,0.5288,192.0,agricultural,,low_plants cassava_plant,oats,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[2]
202,8.1892,0.5315,191.0,agricultural,,clearing cassava_plant,oats,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[3]
203,8.1903,0.5338,192.0,agricultural,,grass low_plants,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[4]
204,8.1924,0.5369,193.0,agricultural,tree,cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[5]
205,8.1935,0.5369,194.0,agricultural,tree,,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[6]
206,8.1951,0.5393,194.0,agricultural,tree,low_plants,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[7]
207,8.194,0.5266,192.0,agricultural,road,cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[8]
208,8.1929,0.5286,191.0,agricultural,,cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[9]
209,8.1947,0.5307,192.0,agricultural,,cassava_plant marsh,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[10]
210,8.1945,0.5327,193.0,agricultural,,cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[11]
211,8.1952,0.5342,193.0,agricultural,,edge cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[12]
212,8.1953,0.5356,194.0,fallow_land,,edge grass bush,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[13]
213,8.1957,0.5372,192.0,fallow_land,,bush,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[14]
214,8.1958,0.5267,189.0,agricultural,road,low_plants,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[15]
215,8.1962,0.5284,189.0,agricultural,,cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[16]
216,8.197,0.5303,190.0,agricultural,,cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[17]
217,8.1973,0.5324,191.0,agricultural,,cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[18]
218,8.1973,0.5346,193.0,agricultural,,edge cassava_plant bush,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[19]
219,8.1972,0.5363,191.0,fallow_land,tree,bush,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[20]
220,8.1958,0.537,190.0,fallow_land,,bush,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[21]
110,8.201,0.5249,189.0,agricultural,road,low_plants,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[22]
111,8.1995,0.5288,190.0,agricultural,,cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[23]
112,8.1996,0.5311,191.0,agricultural,,cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[24]
113,8.1989,0.5327,192.0,agricultural,,cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[25]
114,8.1996,0.5352,193.0,fallow_land,tree,edge banana_tree bush,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[26]
115,8.1996,0.5371,192.0,fallow_land,,bush,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[27]
116,8.2,0.5398,191.0,fallow_land,,bush,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[28]
117,8.2041,0.5252,191.0,agricultural,road,bush,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[29]
118,8.204,0.5278,191.0,agricultural,,edge cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[30]
119,8.2047,0.5291,190.0,agricultural,,cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[31]
120,8.2044,0.5301,190.0,agricultural,,cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[32]
121,8.204,0.5327,190.0,agricultural,,edge cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[33]
122,8.2054,0.5357,191.0,fallow_land,tree,banana_tree,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[34]
123,8.2054,0.5386,190.0,fallow_land,,banana_tree,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[35]
124,8.2072,0.5249,190.0,agricultural,road,cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[36]
125,8.2073,0.527,190.0,agricultural,,cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[37]
126,8.2073,0.5288,189.0,agricultural,,cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[38]
127,8.2068,0.5314,190.0,agricultural,,edge cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[39]
128,8.2072,0.5346,192.0,fallow_land,tree,,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[40]
129,8.2082,0.5368,191.0,fallow_land,,bush,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[41]
130,8.2079,0.5401,190.0,fallow_land,,bush,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[42]
131,8.2109,0.5245,191.0,agricultural,road,bush cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[43]
132,8.2094,0.5284,192.0,agricultural,,cassava_plant,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[44]
133,8.2102,0.5305,194.0,agricultural,,edge banana_tree,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[45]
134,8.2116,0.5318,193.0,fallow_land,,bush,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[46]
135,8.2131,0.5338,194.0,fallow_land,,bush,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[47]
136,8.2155,0.5341,192.0,fallow_land,,bush,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[48]
137,8.2171,0.5338,192.0,fallow_land,,banana_tree edge,,,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2,uuid:2369f5bc-0ca2-41b4-b31f-218a9eddd7b2/trap[49]
104,8.4633,0.5496,272.0,agricultural,fallen_log,rice_plants,oats,,uuid:361a7088-0803-455f-8850-5b369f2c0c83,uuid:361a7088-0803-455f-8850-5b369f2c0c83/trap[1]
105,8.4632,0.5529,275.0,agricultural,fallen_log,rocks rice_plants,oats,,uuid:361a7088-0803-455f-8850-5b369f2c0c83,uuid:361a7088-0803-455f-8850-5b369f2c0c83/trap[2]
106,8.4635,0.5546,275.0,agricultural,,rice_plants,oats,,uuid:361a7088-0803-455f-8850-5b369f2c0c83,uuid:361a7088-0803-455f-8850-5b369f2c0c83/trap[3]
107,8.4629,0.5569,275.0,agricultural,,rocks,oats,,uuid:361a7088-0803-455f-8850-5b369f2c0c83,uuid:361a7088-0803-455f-8850-5b369f2c0c83/trap[4]
108,8.4605,0.5616,279.0,agricultural,fallen_log,,oats,,uuid:361a7088-0803-455f-8850-5b369f2c0c83,uuid:361a7088-0803-455f-8850-5b369f2c0c83/trap[5]
109,8.4606,0.5624,278.0,agricultural,,rocks,oats,,uuid:361a7088-0803-455f-8850-5b369f2c0c83,uuid:361a7088-0803-455f-8850-5b369f2c0c83/trap[6]
52,8.4383,0.5446,273.0,agricultural,path,clearing rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[1]
53,8.4376,5458.0,274.0,agricultural,path,clearing rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[2]
54,8.437,0.548,276.0,agricultural,path,clearing,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[3]
56,8.4353,0.5499,276.0,agricultural,fallen_log,rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[4]
58,8.4349,0.5513,276.0,agricultural,,rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[5]
59,8.4331,0.5537,278.0,agricultural,tree fallen_log,,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[6]
61,8.4409,0.5448,275.0,agricultural,path,,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[7]
62,8.44,0.5465,272.0,agricultural,fallen_log,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[8]
63,8.4421,0.5469,269.0,agricultural,fallen_log,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[9]
64,8.441,0.5501,276.0,agricultural,fallen_log,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[10]
65,8.4407,0.5526,277.0,agricultural,path,rocks rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[11]
66,8.4397,0.555,279.0,agricultural,fallen_log,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[12]
67,8.4387,0.5582,281.0,agricultural,path,rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[13]
68,8.4455,0.5459,272.0,agricultural,path,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[14]
