site_grouping-trap_number,site_grouping-longitude,site_grouping-latitude,site_grouping-elevation,site_grouping-selected_habitat_trap,site_grouping-selected_proximity,site_grouping-selected_land_type,site_grouping-bait_type,site_grouping-trap_image,PARENT_KEY,KEY
69,8.4457,0.546,271.0,agricultural,,rice_plants rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[15]
70,8.4453,0.5486,278.0,agricultural,fallen_log,rocks burnt_land rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[16]
71,8.4458,0.551,278.0,agricultural,fallen_log,burnt_land rice_plants rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[17]
72,8.4448,0.5534,279.0,agricultural,,clearing rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[18]
73,8.4446,0.5546,279.0,agricultural,fallen_log,rice_plants burnt_land rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[19]
74,8.4436,0.5576,280.0,agricultural,fallen_log,clearing rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[20]
75,8.4496,0.5431,272.0,agricultural,path,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[21]
76,8.4501,0.5467,270.0,agricultural,fallen_log,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[22]
77,8.4491,0.548,271.0,agricultural,,rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[23]
78,8.4486,0.5519,278.0,agricultural,fallen_log,rice_plants rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[24]
79,8.4487,0.5548,280.0,agricultural,fallen_log,rice_plants rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[25]
80,8.448,0.5571,280.0,agricultural,fallen_log,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[26]
81,8.4467,0.5588,281.0,agricultural,anthill_termitemound,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[27]
82,8.4529,0.544,269.0,agricultural,tree,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[28]
83,8.4527,0.5453,267.0,agricultural,anthill_termitemound,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[29]
84,8.4521,0.5486,273.0,agricultural,fallen_log,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[30]
85,8.4532,0.5524,276.0,agricultural,fallen_log,rice_plants rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[31]
86,8.4512,0.5552,279.0,agricultural,,rocks rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[32]
87,8.451,0.5579,281.0,agricultural,,rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[33]
88,8.4503,0.56,283.0,agricultural,,rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[34]
89,8.4572,0.5541,270.0,agricultural,fallen_log,,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[35]
90,8.4564,0.5466,266.0,agricultural,,rice_plants cassava_plant,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[36]
91,8.4545,0.5497,270.0,agricultural,fallen_log,rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[37]
92,8.4559,0.5537,277.0,agricultural,,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[38]
93,8.4544,0.5563,280.0,agricultural,,rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[39]
94,8.453,0.559,281.0,agricultural,,rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[40]
85,8.4526,0.5614,283.0,agricultural,fallen_log,rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[41]
96,8.46,0.546,270.0,agricultural,fallen_log,rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[42]
97,8.4601,0.5484,272.0,agricultural,,rocks rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[43]
98,8.4595,0.5515,270.0,agricultural,fallen_log,rocks rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[44]
99,8.4586,0.554,271.0,agricultural,anthill_termitemound tree,,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[45]
100,8.4586,0.5551,278.0,agricultural,fallen_log,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[46]
101,8.4559,0.5596,280.0,agricultural,,rocks,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[47]
102,8.4554,0.5623,282.0,agricultural,,clearing,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[48]
103,8.464,0.547,271.0,agricultural,fallen_log,rice_plants,oats,,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690,uuid:5bedb731-5e12-49e2-8aef-fca6a1647690/trap[49]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[1]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[2]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[3]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[4]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[5]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[6]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[7]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[8]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[9]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[10]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[11]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[12]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[13]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[14]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[15]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[16]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[17]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[18]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[19]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[20]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[21]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[22]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[23]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[24]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[25]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[26]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[27]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[28]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[29]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[30]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[31]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[32]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[33]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[34]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[35]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[36]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[37]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[38]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[39]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[40]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[41]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[42]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[43]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[44]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[45]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[46]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[47]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[48]
,,,,,,,,,uuid:357e352f-841b-4653-9667-7d8dfa1ae314,uuid:357e352f-841b-4653-9667-7d8dfa1ae314/trap[49]
1,8.5612,0.574,294.0,fallow_land,house path,grass,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[1]
2,8.5601,0.5766,293.0,fallow_land,house,bush,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[2]
3,8.5599,0.5804,294.0,fallow_land,house,,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[3]
4,8.5576,0.5828,294.0,fallow_land,house,,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[4]
5,8.5569,0.5851,294.0,forested,,,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[5]
6,8.5544,0.5867,296.0,forested,fallen_log,,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[6]
7,8.5537,0.5897,296.0,forested,fallen_log,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[7]
8,8.5587,0.5733,297.0,open_land fallow_land,path,,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[8]
9,8.5579,0.5761,295.0,fallow_land,,rocks,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[9]
10,8.5546,0.5784,298.0,fallow_land,,bush,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[10]
11,8.5553,0.5803,298.0,fallow_land,,rocks bush,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[11]
12,8.5541,0.5821,297.0,forested,tree anthill_termitemound,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[12]
13,8.5516,0.5848,297.0,forested,,rocks,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[13]
14,8.5482,0.5887,299.0,forested,,rocks leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[14]
16,8.5537,0.5725,296.0,fallow_land,path,edge,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[15]
17,8.553,0.5735,297.0,fallow_land,tree,edge,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[16]
18,8.5512,0.5749,296.0,fallow_land open_land,,edge,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[17]
19,8.5498,0.5771,297.0,forested,tree,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[18]
20,8.5477,0.5793,297.0,forested,tree,,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[19]
21,8.5456,0.5824,294.0,forested,,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[20]
22,8.5446,0.5835,295.0,forested,,burnt_land,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[21]
23,8.5498,0.5686,295.0,forested,path tree,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[22]
25,8.5468,0.5729,295.0,forested,fallen_log,,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[23]
26,8.5449,0.5752,295.0,forested,,leaf_litter clearing,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[24]
27,8.5424,0.578,296.0,forested,,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[25]
28,8.5414,0.5797,296.0,forested,,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[26]
29,8.5393,0.5809,292.0,forested,,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[27]
30,8.5472,0.5687,298.0,forested,house,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[28]
32,8.5439,0.5691,301.0,forested,house,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[29]
33,8.5396,0.573,301.0,forested,tree,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[30]
34,8.5393,0.5736,299.0,forested,,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[31]
35,8.5392,0.5759,295.0,forested,,rocks leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[32]
36,8.5385,0.5764,298.0,forested,tree,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[33]
37,8.5355,0.5804,297.0,forested,fallen_log,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[34]
38,8.5406,0.5653,299.0,forested,house tree,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[35]
39,8.5397,0.5671,297.0,forested,,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[36]
40,8.5397,0.5687,299.0,forested,house,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[37]
41,8.5341,0.5716,297.0,forested,tree house,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[38]
42,8.5349,0.5713,299.0,forested,house,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[39]
43,8.53,0.5739,296.0,forested,fallen_log,rocks,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[40]
44,8.5299,0.5776,296.0,forested,,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[41]
45,8.5353,0.5587,295.0,forested,fallen_log house,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[42]
46,8.5353,0.5604,294.0,forested,,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[43]
47,8.5331,0.5647,294.0,forested,,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[44]
48,8.5298,0.5685,294.0,forested,fallen_log,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[45]
49,8.5301,0.5697,296.0,forested,tree,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[46]
50,8.5253,0.5717,295.0,forested,tree,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[47]
51,8.5235,0.5743,297.0,forested,tree,leaf_litter,oats,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[48]
,,,,,,,,,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c,uuid:8427d4ab-7c98-4df9-a922-60f24f06462c/trap[49]
